,,Deck,Share,Score,Win %
,10,Dragapult Inteleon,19.61%,34 - 22 - 3,57.63%
,9,Urshifu Inteleon,17.65%,19 - 28 - 0,40.43%
,7,Leafeon Inteleon,13.73%,13 - 19 - 0,40.63%
,4,Sylveon,7.84%,12 - 5 - 1,66.67%
,3,Zacian,5.88%,0 - 3 - 0,0.00%
,3,Suicune Ludicolo,5.88%,9 - 8 - 0,52.94%
,2,Victini,3.92%,4 - 6 - 0,40.00%
,2,Vaporeon Inteleon,3.92%,6 - 6 - 1,46.15%
,1,Jolteon Inteleon,1.96%,7 - 3 - 0,70.00%
,1,Weezing Inteleon,1.96%,4 - 2 - 1,57.14%
,1,Shadow Rider Calyrex,1.96%,1 - 2 - 0,33.33%
,1,Corviknight,1.96%,0 - 1 - 0,0.00%
,1,Sableye Inteleon,1.96%,0 - 2 - 0,0.00%
,1,Decidueye Inteleon,1.96%,2 - 1 - 0,66.67%
,1,Blaziken Inteleon,1.96%,1 - 2 - 0,33.33%
,1,Rayquaza Flaaffy,1.96%,5 - 2 - 0,71.43%
,1,Urshifu Moltres,1.96%,1 - 2 - 0,33.33%
,1,Gardevoir,1.96%,2 - 3 - 0,40.00%
,1,Suicune Inteleon,1.96%,3 - 3 - 0,50.00%
