,,Deck,Share,Score,Win %
,12,Dragapult Inteleon,21.82%,33 - 25 - 0,56.90%
,5,Jolteon Inteleon,9.09%,7 - 13 - 0,35.00%
,5,Urshifu Inteleon,9.09%,16 - 8 - 0,66.67%
,5,Zacian,9.09%,15 - 11 - 0,57.69%
,5,Other,9.09%,8 - 18 - 0,30.77%
,4,Leafeon Inteleon,7.27%,9 - 10 - 0,47.37%
,3,Umbreon Urshifu,5.45%,4 - 10 - 0,28.57%
,3,Calyrex Inteleon,5.45%,10 - 5 - 0,66.67%
,2,Suicune Ludicolo,3.64%,2 - 4 - 0,33.33%
,2,Decidueye Inteleon,3.64%,6 - 4 - 0,60.00%
,2,Rayquaza Flaaffy,3.64%,8 - 4 - 0,66.67%
,1,Dracozolt,1.82%,2 - 2 - 0,50.00%
,1,Tornadus,1.82%,3 - 3 - 0,50.00%
,1,Weezing Inteleon,1.82%,2 - 3 - 0,40.00%
,1,Inteleon,1.82%,0 - 2 - 0,0.00%
,1,Victini,1.82%,1 - 2 - 0,33.33%
,1,Sylveon,1.82%,3 - 3 - 0,50.00%
,1,Lapras,1.82%,2 - 4 - 0,33.33%
