,,Deck,Share,Score,Win %
,4,Zacian,11.76%,9 - 11 - 1,42.86%
,4,Dragapult Inteleon,11.76%,7 - 9 - 0,43.75%
,3,Sylveon,8.82%,8 - 6 - 1,53.33%
,3,Other,8.82%,3 - 6 - 0,33.33%
,2,Victini,5.88%,6 - 4 - 0,60.00%
,2,Calyrex Inteleon,5.88%,0 - 3 - 0,0.00%
,2,Sableye Inteleon,5.88%,5 - 6 - 0,45.45%
,2,Leafeon Inteleon,5.88%,10 - 4 - 1,66.67%
,2,Umbreon Urshifu,5.88%,8 - 5 - 0,61.54%
,1,Suicune Ludicolo,2.94%,0 - 2 - 0,0.00%
,1,Altaria,2.94%,2 - 1 - 0,66.67%
,1,Urshifu Inteleon,2.94%,8 - 0 - 1,88.89%
,1,Rayquaza Flaaffy,2.94%,1 - 4 - 0,20.00%
,1,Jolteon Inteleon,2.94%,1 - 2 - 0,33.33%
,1,Rapid Strike Urshifu,2.94%,0 - 2 - 0,0.00%
,1,Eternatus,2.94%,1 - 2 - 0,33.33%
,1,Urshifu Moltres,2.94%,1 - 2 - 0,33.33%
,1,Zacian Ludicolo,2.94%,1 - 3 - 0,25.00%
,1,Tornadus,2.94%,4 - 2 - 0,66.67%
