,,Deck,Share,Score,Win %
,8,Dragapult Inteleon,14.04%,19 - 20 - 0,48.72%
,5,Leafeon Inteleon,8.77%,11 - 12 - 0,47.83%
,4,Calyrex Alcremie,7.02%,4 - 10 - 0,28.57%
,4,Zacian,7.02%,8 - 8 - 0,50.00%
,4,Umbreon Urshifu,7.02%,11 - 12 - 0,47.83%
,3,Other,5.26%,1 - 6 - 0,14.29%
,2,Toxtricity,3.51%,1 - 4 - 0,20.00%
,2,Jolteon Inteleon,3.51%,9 - 6 - 0,60.00%
,2,Duraludon,3.51%,5 - 5 - 0,50.00%
,2,Victini,3.51%,1 - 4 - 0,20.00%
,2,Shadow Rider Calyrex,3.51%,10 - 4 - 0,71.43%
,2,Urshifu Inteleon,3.51%,12 - 4 - 0,75.00%
,2,Suicune Inteleon,3.51%,7 - 5 - 0,58.33%
,1,Suicune Ludicolo,1.75%,6 - 2 - 0,75.00%
,1,Victini Inteleon,1.75%,8 - 2 - 0,80.00%
,1,Suicune,1.75%,2 - 3 - 0,40.00%
,1,Dracozolt,1.75%,3 - 3 - 0,50.00%
,1,Vikavolt,1.75%,2 - 3 - 0,40.00%
,1,Rapid Strike Urshifu,1.75%,0 - 2 - 0,0.00%
,1,Urshifu Blaziken,1.75%,0 - 3 - 0,0.00%
,1,Inteleon,1.75%,7 - 1 - 0,87.50%
,1,Blaziken,1.75%,2 - 3 - 0,40.00%
,1,Dragapult (Infiltrator),1.75%,2 - 2 - 0,50.00%
,1,Rapid Strike Malamar,1.75%,3 - 3 - 0,50.00%
,1,Urshifu Moltres,1.75%,1 - 3 - 0,25.00%
,1,Eternatus,1.75%,3 - 3 - 0,50.00%
,1,Decidueye Inteleon,1.75%,2 - 2 - 0,50.00%
,1,Altaria,1.75%,1 - 1 - 0,50.00%
