,,Deck,Share,Score,Win %
,9,Dragapult Inteleon,12.00%,37 - 21 - 2,61.67%
,8,Zacian,10.67%,18 - 25 - 0,41.86%
,7,Suicune Ludicolo,9.33%,24 - 18 - 0,57.14%
,6,Calyrex Inteleon,8.00%,19 - 18 - 0,51.35%
,5,Umbreon Urshifu,6.67%,11 - 10 - 2,47.83%
,5,Urshifu Inteleon,6.67%,6 - 14 - 0,30.00%
,4,Sylveon,5.33%,9 - 11 - 0,45.00%
,4,Jolteon Inteleon,5.33%,17 - 8 - 0,68.00%
,4,Leafeon Inteleon,5.33%,18 - 11 - 0,62.07%
,4,Other,5.33%,3 - 15 - 0,16.67%
,3,Victini,4.00%,3 - 7 - 0,30.00%
,2,Calyrex Alcremie,2.67%,5 - 6 - 0,45.45%
,2,Shadow Rider Calyrex,2.67%,7 - 5 - 0,58.33%
,2,Duraludon,2.67%,8 - 6 - 0,57.14%
,1,Decidueye Inteleon,1.33%,4 - 3 - 0,57.14%
,1,Eternatus,1.33%,0 - 2 - 0,0.00%
,1,Weezing Inteleon,1.33%,0 - 3 - 0,0.00%
,1,Gardevoir,1.33%,0 - 2 - 0,0.00%
,1,Dragapult,1.33%,1 - 2 - 0,33.33%
,1,Urshifu Blaziken,1.33%,2 - 4 - 0,33.33%
,1,Durant,1.33%,3 - 4 - 0,42.86%
,1,Regidrago Cherrim,1.33%,4 - 3 - 0,57.14%
,1,Galarian Weezing,1.33%,1 - 2 - 0,33.33%
,1,Zacian Inteleon,1.33%,1 - 1 - 0,50.00%
