,,Deck,Share,Score,Win %
,8,Dragapult Inteleon,21.62%,24 - 22 - 3,48.98%
,6,Umbreon Urshifu,16.22%,11 - 12 - 1,45.83%
,4,Urshifu Inteleon,10.81%,14 - 6 - 2,63.64%
,4,Calyrex Inteleon,10.81%,14 - 9 - 2,56.00%
,2,Leafeon Inteleon,5.41%,4 - 6 - 0,40.00%
,2,Calyrex Alcremie,5.41%,1 - 4 - 0,20.00%
,2,Zacian,5.41%,1 - 6 - 0,14.29%
,1,Weezing Inteleon,2.70%,4 - 2 - 1,57.14%
,1,Victini,2.70%,2 - 4 - 0,33.33%
,1,Dracozolt,2.70%,1 - 2 - 0,33.33%
,1,Dhelmise Rillaboom,2.70%,1 - 2 - 0,33.33%
,1,Galarian Weezing,2.70%,1 - 2 - 0,33.33%
,1,Vaporeon Inteleon,2.70%,3 - 2 - 1,50.00%
,1,Eternatus,2.70%,4 - 2 - 0,66.67%
,1,Jolteon Inteleon,2.70%,2 - 2 - 0,50.00%
,1,Inteleon,2.70%,2 - 2 - 2,33.33%
