,,Deck,Share,Score,Win %
,6,Leafeon Inteleon,11.54%,10 - 12 - 1,43.48%
,5,Umbreon Urshifu,9.62%,15 - 8 - 3,57.69%
,5,Dragapult Inteleon,9.62%,7 - 12 - 0,36.84%
,4,Calyrex Inteleon,7.69%,11 - 7 - 3,52.38%
,4,Urshifu Inteleon,7.69%,11 - 9 - 2,50.00%
,3,Shadow Rider Calyrex,5.77%,7 - 9 - 0,43.75%
,3,Suicune Ludicolo,5.77%,8 - 6 - 2,50.00%
,2,Victini,3.85%,5 - 3 - 2,50.00%
,2,Sylveon,3.85%,0 - 3 - 0,0.00%
,2,Calyrex Alcremie,3.85%,1 - 3 - 0,25.00%
,2,Jolteon Inteleon,3.85%,3 - 3 - 0,50.00%
,1,Dragapult,1.92%,0 - 1 - 0,0.00%
,1,Urshifu Cinccino,1.92%,3 - 3 - 0,50.00%
,1,Metagross,1.92%,0 - 1 - 0,0.00%
,1,Umbreon,1.92%,2 - 2 - 0,50.00%
,1,Weezing Inteleon,1.92%,2 - 2 - 0,50.00%
,1,Wailord,1.92%,4 - 2 - 0,66.67%
,1,Duraludon,1.92%,3 - 3 - 0,50.00%
,1,Crobat,1.92%,2 - 3 - 0,40.00%
,1,Mad Party,1.92%,2 - 3 - 0,40.00%
,1,Sableye Inteleon,1.92%,2 - 2 - 0,50.00%
,1,Blastoise,1.92%,3 - 3 - 0,50.00%
,1,Eternatus,1.92%,0 - 1 - 0,0.00%
,1,Zacian,1.92%,7 - 1 - 1,77.78%
,1,Other,1.92%,1 - 4 - 0,20.00%
