,,Deck,Share,Score,Win %
,8,Suicune Ludicolo,12.50%,22 - 22 - 0,50.00%
,7,Dragapult Inteleon,10.94%,10 - 17 - 0,37.04%
,7,Jolteon Inteleon,10.94%,19 - 14 - 0,57.58%
,5,Leafeon Inteleon,7.81%,18 - 14 - 0,56.25%
,5,Calyrex Inteleon,7.81%,11 - 16 - 0,40.74%
,5,Urshifu Inteleon,7.81%,15 - 13 - 2,50.00%
,3,Shadow Rider Calyrex,4.69%,6 - 9 - 0,40.00%
,3,Sylveon,4.69%,10 - 8 - 0,55.56%
,3,Weezing Inteleon,4.69%,12 - 8 - 1,57.14%
,3,Umbreon Urshifu,4.69%,6 - 8 - 0,42.86%
,2,Victini,3.13%,2 - 4 - 0,33.33%
,2,Other,3.13%,0 - 4 - 0,0.00%
,1,Calyrex Alcremie,1.56%,0 - 3 - 0,0.00%
,1,Inteleon,1.56%,1 - 3 - 0,25.00%
,1,Corviknight,1.56%,4 - 3 - 0,57.14%
,1,Decidueye Inteleon,1.56%,7 - 2 - 0,77.78%
,1,Victini Inteleon,1.56%,2 - 4 - 0,33.33%
,1,Duraludon,1.56%,4 - 3 - 0,57.14%
,1,Zacian,1.56%,6 - 1 - 1,75.00%
,1,Sableye Inteleon,1.56%,5 - 2 - 0,71.43%
,1,Rayquaza Flaaffy,1.56%,4 - 3 - 0,57.14%
,1,Dracozolt,1.56%,5 - 3 - 0,62.50%
,1,Zacian Inteleon,1.56%,1 - 6 - 0,14.29%
