,,Deck,Share,Score,Win %
,7,Umbreon Urshifu,14.89%,21 - 19 - 3,48.84%
,5,Dragapult Inteleon,10.64%,12 - 10 - 0,54.55%
,5,Calyrex Inteleon,10.64%,6 - 12 - 0,33.33%
,4,Other,8.51%,6 - 13 - 0,31.58%
,3,Suicune Ludicolo,6.38%,12 - 6 - 1,63.16%
,2,Regidrago Cherrim,4.26%,4 - 8 - 0,33.33%
,2,Zacian,4.26%,7 - 6 - 0,53.85%
,2,Sylveon,4.26%,7 - 5 - 1,53.85%
,2,Shadow Rider Calyrex,4.26%,5 - 6 - 0,45.45%
,2,Victini,4.26%,5 - 4 - 0,55.56%
,2,Urshifu Inteleon,4.26%,7 - 5 - 0,58.33%
,1,Suicune Inteleon,2.13%,8 - 1 - 0,88.89%
,1,Jolteon Inteleon,2.13%,0 - 1 - 0,0.00%
,1,Toxtricity,2.13%,0 - 3 - 0,0.00%
,1,Gardevoir,2.13%,2 - 2 - 0,50.00%
,1,Sableye Inteleon,2.13%,1 - 2 - 0,33.33%
,1,Orbeetle,2.13%,2 - 4 - 0,33.33%
,1,Eternatus,2.13%,0 - 6 - 0,0.00%
,1,Inteleon,2.13%,3 - 3 - 0,50.00%
,1,Leafeon Inteleon,2.13%,2 - 3 - 0,40.00%
,1,Dracozolt,2.13%,0 - 2 - 0,0.00%
,1,Zacian Inteleon,2.13%,4 - 2 - 1,57.14%
