,,Deck,Share,Score,Win %
,7,Other,10.94%,7 - 21 - 0,25.00%
,6,Urshifu Inteleon,9.38%,9 - 12 - 0,42.86%
,6,Umbreon Urshifu,9.38%,11 - 15 - 0,42.31%
,5,Sylveon,7.81%,21 - 13 - 0,61.76%
,5,Leafeon Inteleon,7.81%,19 - 14 - 0,57.58%
,4,Dragapult Inteleon,6.25%,11 - 12 - 0,47.83%
,4,Suicune Ludicolo,6.25%,15 - 10 - 0,60.00%
,3,Zacian,4.69%,10 - 8 - 0,55.56%
,3,Jolteon Inteleon,4.69%,14 - 6 - 0,70.00%
,2,Calyrex Dragapult,3.13%,10 - 5 - 0,66.67%
,2,Shadow Rider Calyrex,3.13%,6 - 4 - 0,60.00%
,2,Victini,3.13%,10 - 6 - 0,62.50%
,1,Dragapult (Infiltrator),1.56%,3 - 2 - 0,60.00%
,1,Leafeon,1.56%,0 - 2 - 0,0.00%
,1,Blaziken,1.56%,1 - 2 - 0,33.33%
,1,Suicune Inteleon,1.56%,5 - 2 - 0,71.43%
,1,Sableye Inteleon,1.56%,3 - 3 - 0,50.00%
,1,Blissey,1.56%,0 - 3 - 0,0.00%
,1,Galarian Obstagoon,1.56%,0 - 2 - 0,0.00%
,1,Urshifu Blaziken,1.56%,1 - 5 - 0,16.67%
,1,Urshifu Moltres,1.56%,1 - 2 - 0,33.33%
,1,Calyrex Alcremie,1.56%,2 - 4 - 0,33.33%
,1,Eternatus,1.56%,3 - 3 - 0,50.00%
,1,Vaporeon Inteleon,1.56%,1 - 3 - 0,25.00%
,1,Galarian Weezing,1.56%,1 - 3 - 0,25.00%
,1,Victini Inteleon,1.56%,0 - 2 - 0,0.00%
,1,Regidrago Cherrim,1.56%,0 - 3 - 0,0.00%
