,,Deck,Share,Score,Win %
,6,Dragapult Inteleon,14.29%,19 - 14 - 2,54.29%
,5,Urshifu Inteleon,11.90%,18 - 10 - 2,60.00%
,3,Leafeon Inteleon,7.14%,6 - 8 - 1,40.00%
,3,Zacian,7.14%,8 - 8 - 0,50.00%
,3,Sableye Inteleon,7.14%,5 - 7 - 0,41.67%
,3,Umbreon Urshifu,7.14%,7 - 5 - 1,53.85%
,2,Calyrex Inteleon,4.76%,4 - 7 - 0,36.36%
,2,Eternatus,4.76%,4 - 5 - 0,44.44%
,2,Jolteon Inteleon,4.76%,6 - 5 - 0,54.55%
,2,Other,4.76%,6 - 6 - 0,50.00%
,1,Shadow Rider Calyrex,2.38%,4 - 2 - 1,57.14%
,1,Duraludon,2.38%,0 - 2 - 0,0.00%
,1,Weezing Inteleon,2.38%,3 - 3 - 0,50.00%
,1,Rapid Strike Urshifu,2.38%,2 - 1 - 0,66.67%
,1,Tapu Koko,2.38%,1 - 1 - 0,50.00%
,1,Calyrex Alcremie,2.38%,0 - 3 - 0,0.00%
,1,Suicune Ludicolo,2.38%,1 - 1 - 0,50.00%
,1,Orbeetle (Evomancy),2.38%,0 - 1 - 0,0.00%
,1,Rayquaza Flaaffy,2.38%,1 - 3 - 0,25.00%
,1,Suicune Inteleon,2.38%,4 - 2 - 1,57.14%
,1,Glaceon,2.38%,2 - 3 - 0,40.00%
