,,Deck,Share,Score,Win %
,4,Umbreon Urshifu,12.50%,15 - 15 - 2,46.88%
,4,Zacian,12.50%,15 - 16 - 1,46.88%
,3,Dragapult Inteleon,9.38%,13 - 12 - 0,52.00%
,3,Sableye Inteleon,9.38%,13 - 10 - 2,52.00%
,3,Other,9.38%,3 - 8 - 1,25.00%
,2,Urshifu Inteleon,6.25%,5 - 6 - 0,45.45%
,2,Leafeon Inteleon,6.25%,9 - 8 - 0,52.94%
,2,Suicune Ludicolo,6.25%,1 - 6 - 0,14.29%
,1,Sylveon,3.13%,2 - 2 - 0,50.00%
,1,Calyrex Alcremie,3.13%,3 - 3 - 0,50.00%
,1,Inteleon,3.13%,3 - 2 - 1,50.00%
,1,Shadow Rider Calyrex,3.13%,6 - 4 - 0,60.00%
,1,Suicune,3.13%,10 - 2 - 2,71.43%
,1,Jolteon Inteleon,3.13%,0 - 4 - 0,0.00%
,1,Corviknight,3.13%,9 - 4 - 2,60.00%
,1,Scizor,3.13%,2 - 3 - 1,33.33%
,1,Eternatus,3.13%,11 - 4 - 0,73.33%
