,,Deck,Share,Score,Win %
,7,Dragapult Inteleon,14.29%,18 - 16 - 0,52.94%
,6,Jolteon Inteleon,12.24%,13 - 19 - 1,39.39%
,5,Leafeon Inteleon,10.20%,22 - 11 - 2,62.86%
,4,Urshifu Inteleon,8.16%,6 - 10 - 0,37.50%
,4,Zacian,8.16%,16 - 9 - 1,61.54%
,4,Victini,8.16%,13 - 7 - 1,61.90%
,3,Calyrex Inteleon,6.12%,5 - 7 - 0,41.67%
,3,Other,6.12%,8 - 10 - 0,44.44%
,2,Inteleon,4.08%,3 - 7 - 0,30.00%
,2,Calyrex Alcremie,4.08%,0 - 3 - 0,0.00%
,2,Weezing Inteleon,4.08%,0 - 4 - 0,0.00%
,2,Umbreon Urshifu,4.08%,7 - 5 - 1,53.85%
,1,Eternatus,2.04%,4 - 2 - 0,66.67%
,1,Suicune Ludicolo,2.04%,1 - 2 - 0,33.33%
,1,Victini Inteleon,2.04%,0 - 6 - 0,0.00%
,1,Sylveon,2.04%,3 - 3 - 0,50.00%
,1,Shadow Rider Calyrex,2.04%,0 - 1 - 0,0.00%
