,,Deck,Share,Score,Win %
,9,Dragapult Inteleon,16.67%,16 - 24 - 0,40.00%
,8,Umbreon Urshifu,14.81%,18 - 19 - 0,48.65%
,5,Leafeon Inteleon,9.26%,13 - 14 - 0,48.15%
,5,Urshifu Inteleon,9.26%,5 - 11 - 0,31.25%
,4,Suicune Ludicolo,7.41%,0 - 7 - 0,0.00%
,3,Sylveon,5.56%,13 - 5 - 0,72.22%
,2,Eternatus,3.70%,9 - 3 - 0,75.00%
,2,Dhelmise,3.70%,1 - 3 - 0,25.00%
,2,Victini,3.70%,0 - 3 - 0,0.00%
,1,Togekiss Inteleon,1.85%,4 - 2 - 0,66.67%
,1,Jolteon Inteleon,1.85%,3 - 2 - 0,60.00%
,1,Gardevoir,1.85%,2 - 2 - 0,50.00%
,1,Zacian,1.85%,6 - 0 - 0,100.00%
,1,Maractus Cherrim,1.85%,2 - 4 - 0,33.33%
,1,Dragapult,1.85%,4 - 2 - 0,66.67%
,1,Decidueye Inteleon,1.85%,0 - 1 - 0,0.00%
,1,Gardevoir Gallade,1.85%,3 - 3 - 0,50.00%
,1,Jolteon,1.85%,1 - 2 - 0,33.33%
,1,Calyrex Inteleon,1.85%,4 - 2 - 0,66.67%
,1,Urshifu Moltres,1.85%,2 - 2 - 0,50.00%
,1,Corviknight,1.85%,0 - 1 - 0,0.00%
,1,Calyrex Alcremie,1.85%,4 - 2 - 0,66.67%
,1,Weezing Inteleon,1.85%,3 - 3 - 0,50.00%
