,,Deck,Share,Score,Win %
,25,Other,83.33%,56 - 53 - 0,51.38%
,2,Regidrago Cherrim,6.67%,1 - 3 - 0,25.00%
,1,Tapu Bulu Cherrim,3.33%,0 - 1 - 0,0.00%
,1,Single Strike Seviper,3.33%,1 - 3 - 0,25.00%
,1,Cinderace Cinccino,3.33%,4 - 1 - 0,80.00%
