,,Deck,Share,Score,Win %
,1,Urshifu Inteleon,16.67%,2 - 2 - 0,50.00%
,1,Suicune Ludicolo,16.67%,2 - 1 - 0,66.67%
,1,Umbreon Urshifu,16.67%,3 - 1 - 0,75.00%
,1,Tornadus,16.67%,2 - 1 - 0,66.67%
,1,Leafeon Inteleon,16.67%,1 - 2 - 0,33.33%
,1,Other,16.67%,0 - 3 - 0,0.00%
