,,Deck,Share,Score,Win %
,10,Umbreon Urshifu,18.52%,13 - 24 - 2,33.33%
,8,Dragapult Inteleon,14.81%,28 - 14 - 6,58.33%
,4,Leafeon Inteleon,7.41%,11 - 7 - 3,52.38%
,4,Victini,7.41%,5 - 9 - 0,35.71%
,4,Calyrex Inteleon,7.41%,10 - 9 - 0,52.63%
,4,Zacian,7.41%,6 - 10 - 0,37.50%
,3,Calyrex Alcremie,5.56%,9 - 4 - 0,69.23%
,3,Urshifu Inteleon,5.56%,10 - 8 - 1,52.63%
,2,Suicune Ludicolo,3.70%,5 - 5 - 0,50.00%
,2,Sylveon,3.70%,6 - 2 - 0,75.00%
,2,Weezing Inteleon,3.70%,2 - 4 - 1,28.57%
,1,Eternatus,1.85%,0 - 2 - 0,0.00%
,1,Jolteon Inteleon,1.85%,1 - 5 - 0,16.67%
,1,Shadow Rider Calyrex,1.85%,1 - 5 - 0,16.67%
,1,Victini Inteleon,1.85%,3 - 3 - 0,50.00%
,1,Blastoise,1.85%,0 - 2 - 0,0.00%
,1,Alcremie,1.85%,2 - 2 - 1,40.00%
,1,Inteleon,1.85%,2 - 4 - 0,33.33%
,1,Duraludon,1.85%,2 - 4 - 0,33.33%
