,,Deck,Share,Score,Win %
,10,Dragapult Inteleon,12.82%,24 - 23 - 0,51.06%
,7,Jolteon Inteleon,8.97%,19 - 18 - 0,51.35%
,7,Umbreon Urshifu,8.97%,19 - 19 - 0,50.00%
,7,Leafeon Inteleon,8.97%,15 - 19 - 0,44.12%
,7,Zacian,8.97%,19 - 18 - 0,51.35%
,6,Calyrex Inteleon,7.69%,15 - 18 - 0,45.45%
,4,Weezing Inteleon,5.13%,13 - 8 - 0,61.90%
,4,Urshifu Inteleon,5.13%,12 - 7 - 0,63.16%
,3,Corviknight,3.85%,9 - 12 - 0,42.86%
,2,Sableye Inteleon,2.56%,6 - 8 - 0,42.86%
,2,Shadow Rider Calyrex,2.56%,6 - 4 - 0,60.00%
,2,Eternatus,2.56%,7 - 7 - 0,50.00%
,2,Calyrex Alcremie,2.56%,4 - 5 - 0,44.44%
,2,Sylveon,2.56%,3 - 5 - 1,33.33%
,2,Urshifu Blaziken,2.56%,6 - 4 - 1,54.55%
,2,Rayquaza Flaaffy,2.56%,3 - 8 - 0,27.27%
,2,Other,2.56%,1 - 3 - 0,25.00%
,1,Venusaur,1.28%,0 - 1 - 0,0.00%
,1,Scizor,1.28%,4 - 3 - 0,57.14%
,1,Suicune Inteleon,1.28%,6 - 1 - 0,85.71%
,1,Inteleon,1.28%,3 - 3 - 0,50.00%
,1,Gardevoir,1.28%,3 - 3 - 0,50.00%
,1,Urshifu Moltres,1.28%,1 - 3 - 0,25.00%
,1,Suicune Ludicolo,1.28%,2 - 4 - 0,33.33%
