,,Deck,Share,Score,Win %
,13,Dragapult Inteleon,17.33%,38 - 34 - 0,52.78%
,10,Zacian,13.33%,33 - 25 - 1,55.93%
,8,Urshifu Inteleon,10.67%,23 - 21 - 1,51.11%
,7,Umbreon Urshifu,9.33%,18 - 18 - 0,50.00%
,4,Jolteon Inteleon,5.33%,15 - 10 - 0,60.00%
,3,Sylveon,4.00%,4 - 9 - 0,30.77%
,3,Victini,4.00%,9 - 6 - 0,60.00%
,3,Sableye Inteleon,4.00%,6 - 8 - 0,42.86%
,2,Shadow Rider Calyrex,2.67%,5 - 4 - 0,55.56%
,2,Leafeon Inteleon,2.67%,2 - 4 - 0,33.33%
,2,Calyrex Inteleon,2.67%,3 - 3 - 0,50.00%
,2,Suicune Ludicolo,2.67%,2 - 6 - 0,25.00%
,2,Other,2.67%,6 - 4 - 0,60.00%
,1,Eternatus,1.33%,3 - 4 - 0,42.86%
,1,Dragapult Urshifu,1.33%,0 - 1 - 0,0.00%
,1,Decidueye Inteleon,1.33%,6 - 1 - 0,85.71%
,1,Tornadus,1.33%,5 - 2 - 0,71.43%
,1,Regidrago Cherrim,1.33%,0 - 3 - 0,0.00%
,1,Corviknight,1.33%,2 - 3 - 0,40.00%
,1,Suicune,1.33%,3 - 4 - 0,42.86%
,1,Toxtricity,1.33%,0 - 3 - 0,0.00%
,1,Gardevoir,1.33%,2 - 5 - 0,28.57%
,1,Calyrex Alcremie,1.33%,1 - 6 - 0,14.29%
,1,Coalossal,1.33%,1 - 3 - 0,25.00%
,1,Weezing Inteleon,1.33%,1 - 1 - 0,50.00%
,1,Urshifu Moltres,1.33%,5 - 2 - 0,71.43%
,1,Vikavolt,1.33%,0 - 5 - 0,0.00%
