,,Deck,Share,Score,Win %
,10,Dragapult Inteleon,17.54%,29 - 20 - 1,58.00%
,5,Jolteon Inteleon,8.77%,8 - 9 - 1,44.44%
,5,Shadow Rider Calyrex,8.77%,10 - 14 - 0,41.67%
,4,Umbreon Urshifu,7.02%,15 - 5 - 0,75.00%
,4,Sylveon,7.02%,8 - 10 - 0,44.44%
,4,Urshifu Inteleon,7.02%,9 - 8 - 0,52.94%
,3,Suicune Ludicolo,5.26%,11 - 7 - 0,61.11%
,3,Leafeon Inteleon,5.26%,8 - 4 - 0,66.67%
,3,Calyrex Inteleon,5.26%,9 - 6 - 0,60.00%
,3,Eternatus,5.26%,4 - 9 - 0,30.77%
,3,Other,5.26%,4 - 9 - 0,30.77%
,2,Vaporeon Inteleon,3.51%,4 - 8 - 0,33.33%
,1,Sableye Inteleon,1.75%,0 - 2 - 0,0.00%
,1,Urshifu Moltres,1.75%,0 - 2 - 0,0.00%
,1,Suicune Inteleon,1.75%,1 - 5 - 0,16.67%
,1,Zacian,1.75%,3 - 3 - 0,50.00%
,1,Duraludon,1.75%,3 - 2 - 0,60.00%
,1,Gardevoir Gallade,1.75%,0 - 3 - 0,0.00%
,1,Suicune,1.75%,4 - 2 - 0,66.67%
,1,Decidueye Inteleon,1.75%,1 - 2 - 0,33.33%
