,,Deck,Share,Score,Win %
,7,Umbreon Urshifu,11.48%,10 - 18 - 0,35.71%
,7,Dragapult Inteleon,11.48%,22 - 17 - 0,56.41%
,7,Zacian,11.48%,20 - 15 - 2,54.05%
,6,Suicune Ludicolo,9.84%,17 - 13 - 2,53.13%
,5,Calyrex Inteleon,8.20%,12 - 11 - 0,52.17%
,3,Sylveon,4.92%,5 - 4 - 2,45.45%
,3,Leafeon Inteleon,4.92%,12 - 6 - 0,66.67%
,3,Jolteon Inteleon,4.92%,6 - 8 - 0,42.86%
,3,Other,4.92%,7 - 11 - 0,38.89%
,2,Suicune Inteleon,3.28%,5 - 6 - 0,45.45%
,2,Urshifu Blaziken,3.28%,4 - 6 - 0,40.00%
,2,Inteleon,3.28%,10 - 4 - 0,71.43%
,2,Urshifu Inteleon,3.28%,10 - 3 - 2,66.67%
,1,Salamence,1.64%,0 - 2 - 0,0.00%
,1,Suicune,1.64%,1 - 3 - 0,25.00%
,1,Rapid Strike Malamar,1.64%,1 - 2 - 0,33.33%
,1,Duraludon,1.64%,0 - 6 - 0,0.00%
,1,Shadow Rider Calyrex,1.64%,0 - 2 - 0,0.00%
,1,Orbeetle,1.64%,1 - 2 - 0,33.33%
,1,Calyrex Alcremie,1.64%,0 - 3 - 0,0.00%
,1,Togekiss Inteleon,1.64%,1 - 5 - 0,16.67%
,1,Rayquaza,1.64%,1 - 2 - 0,33.33%
