,,Deck,Share,Score,Win %
,8,Dragapult Inteleon,12.12%,22 - 28 - 1,43.14%
,7,Umbreon Urshifu,10.61%,15 - 16 - 1,46.88%
,6,Suicune Ludicolo,9.09%,21 - 14 - 1,58.33%
,6,Calyrex Inteleon,9.09%,23 - 16 - 2,56.10%
,5,Other,7.58%,5 - 21 - 0,19.23%
,4,Leafeon Inteleon,6.06%,13 - 8 - 0,61.90%
,4,Zacian,6.06%,8 - 7 - 0,53.33%
,4,Jolteon Inteleon,6.06%,12 - 17 - 0,41.38%
,3,Sylveon,4.55%,1 - 7 - 0,12.50%
,3,Eternatus,4.55%,5 - 12 - 0,29.41%
,3,Urshifu Inteleon,4.55%,10 - 12 - 0,45.45%
,3,Decidueye Inteleon,4.55%,2 - 5 - 0,28.57%
,2,Duraludon,3.03%,3 - 4 - 0,42.86%
,1,Shadow Rider Calyrex,1.52%,5 - 2 - 0,71.43%
,1,Sableye Inteleon,1.52%,3 - 3 - 0,50.00%
,1,Rapid Strike Malamar,1.52%,0 - 7 - 0,0.00%
,1,Corviknight,1.52%,2 - 2 - 1,40.00%
,1,Bronzong Box,1.52%,2 - 5 - 0,28.57%
,1,Vaporeon Inteleon,1.52%,0 - 2 - 0,0.00%
,1,Urshifu Blaziken,1.52%,3 - 2 - 0,60.00%
,1,Blaziken Zeraora,1.52%,3 - 2 - 0,60.00%
