,,Deck,Share,Score,Win %
,15,Dragapult Inteleon,18.75%,50 - 39 - 0,56.18%
,10,Urshifu Inteleon,12.50%,27 - 25 - 0,51.92%
,8,Suicune Ludicolo,10.00%,15 - 24 - 0,38.46%
,6,Zacian,7.50%,21 - 14 - 1,58.33%
,6,Umbreon Urshifu,7.50%,12 - 17 - 0,41.38%
,5,Leafeon Inteleon,6.25%,15 - 14 - 0,51.72%
,5,Other,6.25%,11 - 15 - 0,42.31%
,4,Sylveon,5.00%,8 - 6 - 1,53.33%
,4,Calyrex Inteleon,5.00%,12 - 4 - 0,75.00%
,3,Calyrex Dragapult,3.75%,7 - 9 - 0,43.75%
,3,Shadow Rider Calyrex,3.75%,2 - 5 - 0,28.57%
,2,Victini,2.50%,9 - 5 - 0,64.29%
,1,Tornadus,1.25%,1 - 3 - 0,25.00%
,1,Victini Inteleon,1.25%,5 - 3 - 0,62.50%
,1,Jolteon Inteleon,1.25%,3 - 3 - 0,50.00%
,1,Glaceon Inteleon,1.25%,0 - 2 - 0,0.00%
,1,Blissey,1.25%,0 - 2 - 0,0.00%
,1,Weezing Inteleon,1.25%,1 - 3 - 0,25.00%
,1,Urshifu Moltres,1.25%,0 - 2 - 0,0.00%
,1,Duraludon,1.25%,2 - 1 - 0,66.67%
,1,Rapid Strike Urshifu,1.25%,0 - 2 - 0,0.00%
