,,Deck,Share,Score,Win %
,8,Umbreon Urshifu,16.67%,31 - 19 - 2,59.62%
,7,Dragapult Inteleon,14.58%,13 - 23 - 0,36.11%
,5,Calyrex Inteleon,10.42%,10 - 9 - 1,50.00%
,4,Suicune Ludicolo,8.33%,10 - 10 - 2,45.45%
,3,Jolteon Inteleon,6.25%,11 - 6 - 1,61.11%
,2,Leafeon Inteleon,4.17%,5 - 5 - 0,50.00%
,2,Urshifu Inteleon,4.17%,8 - 3 - 2,61.54%
,2,Sylveon,4.17%,4 - 7 - 0,36.36%
,2,Calyrex Alcremie,4.17%,3 - 4 - 0,42.86%
,2,Shadow Rider Calyrex,4.17%,2 - 6 - 0,25.00%
,2,Victini,4.17%,7 - 4 - 0,63.64%
,2,Other,4.17%,1 - 7 - 0,12.50%
,1,Sableye Inteleon,2.08%,3 - 2 - 0,60.00%
,1,Eternatus,2.08%,3 - 3 - 0,50.00%
,1,Duraludon,2.08%,2 - 3 - 0,40.00%
,1,Dracozolt,2.08%,1 - 5 - 0,16.67%
,1,Centiskorch Control,2.08%,0 - 5 - 0,0.00%
,1,Corviknight,2.08%,3 - 3 - 0,50.00%
,1,Urshifu Blaziken,2.08%,2 - 4 - 0,33.33%
