,,Deck,Share,Score,Win %
,2,Leafeon Inteleon,20.00%,5 - 3 - 0,62.50%
,1,Rapid Strike Urshifu,10.00%,2 - 2 - 0,50.00%
,1,Inteleon,10.00%,1 - 2 - 0,33.33%
,1,Jolteon Inteleon,10.00%,2 - 2 - 0,50.00%
,1,Urshifu Inteleon,10.00%,4 - 2 - 0,66.67%
,1,Blaziken Zeraora,10.00%,3 - 2 - 0,60.00%
,1,Eternatus,10.00%,1 - 3 - 0,25.00%
,1,Dragapult Inteleon,10.00%,3 - 2 - 0,60.00%
,1,Other,10.00%,1 - 2 - 0,33.33%
