,,Deck,Share,Score,Win %
,5,Sylveon,12.50%,8 - 11 - 0,42.11%
,5,Calyrex Inteleon,12.50%,12 - 13 - 2,44.44%
,3,Urshifu Inteleon,7.50%,2 - 6 - 0,25.00%
,3,Zacian,7.50%,10 - 8 - 1,52.63%
,3,Suicune Ludicolo,7.50%,9 - 9 - 0,50.00%
,3,Leafeon Inteleon,7.50%,6 - 5 - 2,46.15%
,3,Dragapult Inteleon,7.50%,6 - 8 - 0,42.86%
,2,Eternatus,5.00%,1 - 4 - 0,20.00%
,2,Jolteon Inteleon,5.00%,9 - 5 - 1,60.00%
,1,Shadow Rider Calyrex,2.50%,3 - 3 - 0,50.00%
,1,Duraludon,2.50%,2 - 2 - 0,50.00%
,1,Suicune,2.50%,0 - 2 - 0,0.00%
,1,Decidueye Inteleon,2.50%,4 - 2 - 0,66.67%
,1,Gardevoir,2.50%,2 - 3 - 0,40.00%
,1,Sableye Inteleon,2.50%,4 - 2 - 1,57.14%
,1,Dragapult,2.50%,1 - 2 - 0,33.33%
,1,Weezing Inteleon,2.50%,1 - 1 - 0,50.00%
,1,Umbreon Urshifu,2.50%,0 - 1 - 0,0.00%
,1,Urshifu Moltres,2.50%,5 - 2 - 1,62.50%
,1,Victini,2.50%,3 - 3 - 0,50.00%
