,,Deck,Share,Score,Win %
,7,Urshifu Inteleon,12.73%,19 - 13 - 4,52.78%
,6,Dragapult Inteleon,10.91%,21 - 10 - 3,61.76%
,5,Sylveon,9.09%,14 - 10 - 2,53.85%
,4,Zacian,7.27%,8 - 9 - 1,44.44%
,3,Umbreon Urshifu,5.45%,5 - 7 - 0,41.67%
,3,Jolteon Inteleon,5.45%,13 - 6 - 1,65.00%
,3,Other,5.45%,2 - 10 - 0,16.67%
,2,Leafeon Inteleon,3.64%,2 - 5 - 0,28.57%
,2,Eternatus,3.64%,3 - 4 - 0,42.86%
,2,Suicune Ludicolo,3.64%,4 - 5 - 0,44.44%
,2,Durant,3.64%,2 - 4 - 0,33.33%
,2,Decidueye Inteleon,3.64%,6 - 6 - 0,50.00%
,1,Togekiss Inteleon,1.82%,4 - 2 - 0,66.67%
,1,Corviknight,1.82%,1 - 3 - 0,25.00%
,1,Weezing Inteleon,1.82%,3 - 3 - 0,50.00%
,1,Zacian Ludicolo,1.82%,0 - 2 - 0,0.00%
,1,Sableye Inteleon,1.82%,1 - 2 - 0,33.33%
,1,Calyrex Alcremie,1.82%,1 - 2 - 0,33.33%
,1,Dhelmise,1.82%,0 - 2 - 0,0.00%
,1,Inteleon,1.82%,1 - 3 - 0,25.00%
,1,Orbeetle,1.82%,3 - 2 - 0,60.00%
,1,Dracozolt,1.82%,0 - 2 - 0,0.00%
,1,Suicune Inteleon,1.82%,4 - 2 - 1,57.14%
,1,Urshifu Moltres,1.82%,0 - 1 - 0,0.00%
,1,Victini,1.82%,0 - 2 - 0,0.00%
,1,Rayquaza Flaaffy,1.82%,1 - 2 - 0,33.33%
