,,Deck,Share,Score,Win %
,8,Umbreon Urshifu,13.79%,22 - 22 - 0,50.00%
,8,Dragapult Inteleon,13.79%,17 - 19 - 1,45.95%
,7,Calyrex Inteleon,12.07%,20 - 18 - 1,51.28%
,5,Other,8.62%,4 - 15 - 0,21.05%
,4,Shadow Rider Calyrex,6.90%,17 - 10 - 0,62.96%
,3,Leafeon Inteleon,5.17%,14 - 6 - 1,66.67%
,3,Urshifu Inteleon,5.17%,9 - 10 - 0,47.37%
,3,Inteleon,5.17%,6 - 7 - 0,46.15%
,3,Decidueye Inteleon,5.17%,8 - 7 - 0,53.33%
,2,Eternatus,3.45%,2 - 4 - 0,33.33%
,2,Suicune Ludicolo,3.45%,4 - 3 - 1,50.00%
,2,Jolteon Inteleon,3.45%,6 - 7 - 0,46.15%
,2,Urshifu Moltres,3.45%,0 - 5 - 0,0.00%
,1,Sylveon,1.72%,4 - 2 - 1,57.14%
,1,Zacian,1.72%,2 - 2 - 0,50.00%
,1,Victini,1.72%,0 - 2 - 0,0.00%
,1,Calyrex Alcremie,1.72%,5 - 2 - 1,62.50%
,1,Sableye Inteleon,1.72%,1 - 3 - 0,25.00%
,1,Duraludon,1.72%,7 - 2 - 0,77.78%
