,,Deck,Share,Score,Win %
,8,Dragapult Inteleon,16.67%,19 - 19 - 3,46.34%
,6,Sylveon,12.50%,23 - 14 - 2,58.97%
,5,Umbreon Urshifu,10.42%,11 - 13 - 1,44.00%
,5,Urshifu Inteleon,10.42%,16 - 12 - 2,53.33%
,4,Calyrex Inteleon,8.33%,12 - 12 - 0,50.00%
,2,Calyrex Alcremie,4.17%,9 - 4 - 0,69.23%
,2,Jolteon Inteleon,4.17%,0 - 3 - 0,0.00%
,2,Sableye Inteleon,4.17%,3 - 4 - 0,42.86%
,2,Leafeon Inteleon,4.17%,3 - 6 - 0,33.33%
,2,Zacian,4.17%,6 - 5 - 0,54.55%
,1,Victini,2.08%,3 - 3 - 0,50.00%
,1,Suicune,2.08%,2 - 3 - 0,40.00%
,1,Inteleon,2.08%,0 - 3 - 0,0.00%
,1,Jolteon,2.08%,1 - 2 - 0,33.33%
,1,Rayquaza Flaaffy,2.08%,3 - 3 - 0,50.00%
,1,Shadow Rider Calyrex,2.08%,5 - 2 - 1,62.50%
,1,Zacian Moltres,2.08%,0 - 0 - 1,0.00%
,1,Suicune Ludicolo,2.08%,5 - 3 - 0,62.50%
,1,Suicune Inteleon,2.08%,0 - 1 - 0,0.00%
,1,Other,2.08%,1 - 3 - 2,16.67%
